Gene stable ID	Mouse gene stable ID	Mouse gene name
ENSG00000004478	ENSMUSG00000030357	Fkbp4
ENSG00000004487	ENSMUSG00000036940	Kdm1a
ENSG00000004534	ENSMUSG00000032582	Rbm6
ENSG00000004660	ENSMUSG00000020785	Camkk1
ENSG00000004700	ENSMUSG00000030243	Recql
ENSG00000004766	ENSMUSG00000001376	Vps50
ENSG00000004776	ENSMUSG00000036854	Hspb6
ENSG00000004777	ENSMUSG00000036882	Arhgap33
ENSG00000004779	ENSMUSG00000030869	Ndufab1
ENSG00000004799	ENSMUSG00000019577	Pdk4
ENSG00000004809	ENSMUSG00000019834	Slc22a16
ENSG00000004838	ENSMUSG00000010044	Zmynd10
ENSG00000004846	ENSMUSG00000072791	Abcb5
ENSG00000004848	ENSMUSG00000035277	Arx
ENSG00000004864	ENSMUSG00000015112	Slc25a13
ENSG00000004866	ENSMUSG00000029534	St7
ENSG00000004897	ENSMUSG00000020687	Cdc27
ENSG00000004939	ENSMUSG00000006574	Slc4a1
ENSG00000004948	ENSMUSG00000023964	Calcr
ENSG00000004961	ENSMUSG00000031352	Hccs
ENSG00000004975	ENSMUSG00000020888	Dvl2
ENSG00000005001	ENSMUSG00000045027	Prss22
ENSG00000005007	ENSMUSG00000058301	Upf1
ENSG00000005020	ENSMUSG00000059182	Skap2
ENSG00000005022	ENSMUSG00000016319	Slc25a5
ENSG00000005059	ENSMUSG00000027994	Mcub
ENSG00000005073	ENSMUSG00000038210	Hoxa11
ENSG00000005075	ENSMUSG00000039771	Polr2j
ENSG00000005100	ENSMUSG00000040620	Dhx33
ENSG00000005102	ENSMUSG00000001493	Meox1
ENSG00000005108	ENSMUSG00000032625	Thsd7a
ENSG00000005156	ENSMUSG00000020697	Lig3
ENSG00000005175	ENSMUSG00000022466	Rpap3
ENSG00000005187	ENSMUSG00000030935	Acsm3
ENSG00000005189	ENSMUSG00000030924	Rexo5
ENSG00000005194	ENSMUSG00000031781	Ciapin1
ENSG00000005206	ENSMUSG00000035206	Sppl2b
ENSG00000005238	ENSMUSG00000036002	Fam214b
ENSG00000005243	ENSMUSG00000018672	Copz2
ENSG00000005249	ENSMUSG00000002997	Prkar2b
ENSG00000005302	ENSMUSG00000031358	Msl3
ENSG00000005339	ENSMUSG00000022521	Crebbp
ENSG00000005379	ENSMUSG00000034156	Tspoap1
ENSG00000005381	ENSMUSG00000009350	Mpo
ENSG00000005421	ENSMUSG00000002588	Pon1
ENSG00000005436	ENSMUSG00000035125	Gcfc2
ENSG00000005448	ENSMUSG00000030032	Wdr54
ENSG00000005469	ENSMUSG00000003623	Crot
ENSG00000005471	ENSMUSG00000042476	Abcb4
ENSG00000005483	ENSMUSG00000029004	Kmt2e
ENSG00000005486	ENSMUSG00000039917	Rhbdd2
ENSG00000005513	ENSMUSG00000024176	Sox8
ENSG00000005700	ENSMUSG00000035941	Ibtk
ENSG00000005801	ENSMUSG00000060314	Zfp941
ENSG00000005801	ENSMUSG00000074824	Rslcan18
ENSG00000005801	ENSMUSG00000100235	Gm28557
ENSG00000005810	ENSMUSG00000033004	Mycbp2
ENSG00000005812	ENSMUSG00000022124	Fbxl3
ENSG00000005844	ENSMUSG00000030830	Itgal
ENSG00000005882	ENSMUSG00000038967	Pdk2
ENSG00000005884	ENSMUSG00000001507	Itga3
ENSG00000005889	ENSMUSG00000079509	Zfx
ENSG00000005893	ENSMUSG00000016534	Lamp2
ENSG00000005961	ENSMUSG00000034664	Itga2b
ENSG00000005981	ENSMUSG00000042607	Asb4
ENSG00000006007	ENSMUSG00000033917	Gde1
ENSG00000006015	ENSMUSG00000058833	Rex1bd
ENSG00000006016	ENSMUSG00000007888	Crlf1
ENSG00000006025	ENSMUSG00000038534	Osbpl7
ENSG00000006042	ENSMUSG00000035413	Tmem98
ENSG00000006047	ENSMUSG00000018554	Ybx2
ENSG00000006059	ENSMUSG00000035592	Krt33a
ENSG00000006059	ENSMUSG00000048981	Krt31
ENSG00000006059	ENSMUSG00000057723	Krt33b
ENSG00000006062	ENSMUSG00000020941	Map3k14
ENSG00000006071	ENSMUSG00000040136	Abcc8
ENSG00000006116	ENSMUSG00000066189	Cacng3
ENSG00000006118	ENSMUSG00000024736	Tmem132a
ENSG00000006125	ENSMUSG00000035152	Ap2b1
ENSG00000006128	ENSMUSG00000061762	Tac1
ENSG00000006194	ENSMUSG00000022529	Zfp263
ENSG00000006210	ENSMUSG00000031778	Cx3cl1
ENSG00000006282	ENSMUSG00000020867	Spata20
ENSG00000006283	ENSMUSG00000020866	Cacna1g
ENSG00000006327	ENSMUSG00000023905	Tnfrsf12a
ENSG00000006377	ENSMUSG00000029754	Dlx6
ENSG00000006432	ENSMUSG00000042724	Map3k9
ENSG00000006451	ENSMUSG00000008859	Rala
ENSG00000006453	ENSMUSG00000038859	Baiap2l1
ENSG00000006459	ENSMUSG00000042599	Kdm7a
ENSG00000006468	ENSMUSG00000004151	Etv1
ENSG00000006530	ENSMUSG00000029916	Agk
ENSG00000006534	ENSMUSG00000024885	Aldh3b1
ENSG00000006555	ENSMUSG00000034919	Ttc22
ENSG00000006576	ENSMUSG00000039987	Phtf2
ENSG00000006607	ENSMUSG00000034066	Farp2
ENSG00000006611	ENSMUSG00000030838	Ush1c
ENSG00000006625	ENSMUSG00000002797	Ggct
ENSG00000006634	ENSMUSG00000002297	Dbf4
ENSG00000006638	ENSMUSG00000034881	Tbxa2r
ENSG00000006652	ENSMUSG00000001627	Ifrd1
ENSG00000006659	ENSMUSG00000001123	Lgals9
ENSG00000006695	ENSMUSG00000042148	Cox10
ENSG00000006704	ENSMUSG00000023079	Gtf2ird1
ENSG00000006712	ENSMUSG00000003437	Paf1
ENSG00000006715	ENSMUSG00000041236	Vps41
ENSG00000006740	ENSMUSG00000033389	Arhgap44
ENSG00000006744	ENSMUSG00000020549	Elac2
ENSG00000006747	ENSMUSG00000002565	Scin
ENSG00000006788	ENSMUSG00000060180	Myh13
ENSG00000006831	ENSMUSG00000030168	Adipor2
ENSG00000006837	ENSMUSG00000020389	Cdkl3
ENSG00000007001	ENSMUSG00000026839	Upp2
ENSG00000007038	ENSMUSG00000024116	Prss21
ENSG00000007047	ENSMUSG00000030397	Mark4
ENSG00000007062	ENSMUSG00000029086	Prom1
ENSG00000007080	ENSMUSG00000007721	Ccdc124
ENSG00000007168	ENSMUSG00000020745	Pafah1b1
ENSG00000007171	ENSMUSG00000020826	Nos2
ENSG00000007174	ENSMUSG00000056752	Dnah9
ENSG00000007202	ENSMUSG00000010277	2610507B11Rik
ENSG00000007216	ENSMUSG00000001095	Slc13a2
ENSG00000007237	ENSMUSG00000033066	Gas7
ENSG00000007255	ENSMUSG00000002043	Trappc6a
ENSG00000007264	ENSMUSG00000004933	Matk
ENSG00000007306	ENSMUSG00000054169	Ceacam10
ENSG00000007306	ENSMUSG00000054385	Ceacam2
ENSG00000007306	ENSMUSG00000074272	Ceacam1
ENSG00000007312	ENSMUSG00000040592	Cd79b
ENSG00000007314	ENSMUSG00000001027	Scn4a
ENSG00000007341	ENSMUSG00000045576	St7l
ENSG00000007350	ENSMUSG00000031397	Tktl1
ENSG00000007372	ENSMUSG00000027168	Pax6
ENSG00000007376	ENSMUSG00000041199	Rpusd1
ENSG00000007384	ENSMUSG00000020282	Rhbdf1
ENSG00000007392	ENSMUSG00000024188	Luc7l
ENSG00000007402	ENSMUSG00000010066	Cacna2d2
ENSG00000007516	ENSMUSG00000047507	Baiap3
ENSG00000007520	ENSMUSG00000015126	Tsr3
ENSG00000007541	ENSMUSG00000025728	Pigq
ENSG00000007545	ENSMUSG00000038002	Cramp1l
ENSG00000007866	ENSMUSG00000002249	Tead3
ENSG00000007908	ENSMUSG00000026582	Sele
ENSG00000007923	ENSMUSG00000039768	Dnajc11
ENSG00000007933	ENSMUSG00000026691	Fmo3
ENSG00000007944	ENSMUSG00000038175	Mylip
ENSG00000007952	ENSMUSG00000031257	Nox1
ENSG00000007968	ENSMUSG00000018983	E2f2
ENSG00000008018	ENSMUSG00000014769	Psmb1
ENSG00000008056	ENSMUSG00000037217	Syn1
ENSG00000008083	ENSMUSG00000038518	Jarid2
ENSG00000008086	ENSMUSG00000031292	Cdkl5
ENSG00000008118	ENSMUSG00000016179	Camk1g
ENSG00000008128	ENSMUSG00000029062	Cdk11b
ENSG00000008130	ENSMUSG00000029063	Nadk
ENSG00000008196	ENSMUSG00000025927	Tfap2b
ENSG00000008197	ENSMUSG00000042596	Tfap2d
ENSG00000008226	ENSMUSG00000038060	Dlec1
ENSG00000008256	ENSMUSG00000018001	Cyth3
ENSG00000008277	ENSMUSG00000040537	Adam22
ENSG00000008282	ENSMUSG00000020570	Sypl
ENSG00000008283	ENSMUSG00000019590	Cyb561
ENSG00000008294	ENSMUSG00000020859	Spag9
ENSG00000008300	ENSMUSG00000023473	Celsr3
ENSG00000008311	ENSMUSG00000029695	Aass
ENSG00000008323	ENSMUSG00000038167	Plekhg6
ENSG00000008324	ENSMUSG00000032526	Ss18l2
ENSG00000008382	ENSMUSG00000003199	Mpnd
ENSG00000008394	ENSMUSG00000008540	Mgst1
ENSG00000008405	ENSMUSG00000020038	Cry1
ENSG00000008438	ENSMUSG00000030413	Pglyrp1
ENSG00000008441	ENSMUSG00000001911	Nfix
ENSG00000008513	ENSMUSG00000013846	St3gal1
ENSG00000008516	ENSMUSG00000023903	Mmp25
ENSG00000008710	ENSMUSG00000032855	Pkd1
ENSG00000008735	ENSMUSG00000022619	Mapk8ip2
ENSG00000008838	ENSMUSG00000017210	Med24
ENSG00000008853	ENSMUSG00000022075	Rhobtb2
ENSG00000008869	ENSMUSG00000039414	Heatr5b
ENSG00000008952	ENSMUSG00000027706	Sec62
ENSG00000009307	ENSMUSG00000068823	Csde1
ENSG00000009335	ENSMUSG00000039000	Ube3c
ENSG00000009413	ENSMUSG00000019841	Rev3l
ENSG00000009694	ENSMUSG00000016150	Tenm1
ENSG00000009709	ENSMUSG00000028736	Pax7
ENSG00000009724	ENSMUSG00000028979	Masp2
ENSG00000009765	ENSMUSG00000019762	Iyd
ENSG00000009780	ENSMUSG00000028878	Fam76a
ENSG00000009790	ENSMUSG00000037318	Traf3ip3
ENSG00000009830	ENSMUSG00000034126	Pomt2
ENSG00000009844	ENSMUSG00000019868	Vta1
ENSG00000009950	ENSMUSG00000005373	Mlxipl
ENSG00000009954	ENSMUSG00000002748	Baz1b
ENSG00000010017	ENSMUSG00000038546	Ranbp9
ENSG00000010072	ENSMUSG00000031986	Sprtn
ENSG00000010165	ENSMUSG00000026694	Eef1aknmt
ENSG00000010219	ENSMUSG00000030345	Dyrk4
ENSG00000010244	ENSMUSG00000017421	Zfp207
ENSG00000010256	ENSMUSG00000025651	Uqcrc1
ENSG00000010270	ENSMUSG00000003062	Stard3nl
ENSG00000010278	ENSMUSG00000030342	Cd9
ENSG00000010282	ENSMUSG00000032523	Hhatl
ENSG00000010292	ENSMUSG00000038252	Ncapd2
ENSG00000010295	ENSMUSG00000038271	Iffo1
ENSG00000010310	ENSMUSG00000030406	Gipr
ENSG00000010318	ENSMUSG00000021902	Phf7
ENSG00000010319	ENSMUSG00000021904	Sema3g
ENSG00000010322	ENSMUSG00000021910	Nisch
ENSG00000010327	ENSMUSG00000042286	Stab1
ENSG00000010361	ENSMUSG00000011658	Fuz
ENSG00000010379	ENSMUSG00000030108	Slc6a13
ENSG00000010404	ENSMUSG00000035847	Ids
ENSG00000010438	ENSMUSG00000036938	Try5
ENSG00000010438	ENSMUSG00000054106	Try4
ENSG00000010438	ENSMUSG00000057163	Prss2
ENSG00000010438	ENSMUSG00000058119	Gm5771
ENSG00000010438	ENSMUSG00000062751	Prss1
ENSG00000010438	ENSMUSG00000071517	Gm10334
ENSG00000010438	ENSMUSG00000071519	Prss3
ENSG00000010438	ENSMUSG00000071521	Try10
ENSG00000010539	ENSMUSG00000071281	Zfp65
ENSG00000010610	ENSMUSG00000023274	Cd4
ENSG00000010626	ENSMUSG00000030125	Lrrc23
ENSG00000010671	ENSMUSG00000031264	Btk
ENSG00000010704	ENSMUSG00000006611	Hfe
ENSG00000010803	ENSMUSG00000000085	Scmh1
ENSG00000010810	ENSMUSG00000019843	Fyn
ENSG00000010818	ENSMUSG00000015501	Hivep2
ENSG00000010932	ENSMUSG00000040181	Fmo1
ENSG00000011007	ENSMUSG00000028668	Eloa
ENSG00000011009	ENSMUSG00000028670	Lypla2
ENSG00000011021	ENSMUSG00000029016	Clcn6
ENSG00000011028	ENSMUSG00000020695	Mrc2
ENSG00000011052	ENSMUSG00000091228	Gm20390
ENSG00000011083	ENSMUSG00000052026	Slc6a7
ENSG00000011105	ENSMUSG00000030352	Tspan9
ENSG00000011114	ENSMUSG00000041702	Btbd7
ENSG00000011132	ENSMUSG00000004931	Apba3
ENSG00000011143	ENSMUSG00000034121	Mks1
ENSG00000011198	ENSMUSG00000032540	Abhd5
ENSG00000011243	ENSMUSG00000002625	Akap8l
ENSG00000011258	ENSMUSG00000059474	Mbtd1
ENSG00000011260	ENSMUSG00000054079	Utp18
ENSG00000011275	ENSMUSG00000045078	Rnf216
ENSG00000011295	ENSMUSG00000042298	Ttc19
ENSG00000011304	ENSMUSG00000006498	Ptbp1
ENSG00000011332	ENSMUSG00000030584	Dpf1
ENSG00000011347	ENSMUSG00000024743	Syt7
ENSG00000011376	ENSMUSG00000035202	Lars2
ENSG00000011405	ENSMUSG00000030660	Pik3c2a
ENSG00000011422	ENSMUSG00000046223	Plaur
ENSG00000011426	ENSMUSG00000036777	Anln
ENSG00000011451	ENSMUSG00000024050	Wiz
ENSG00000011454	ENSMUSG00000035437	Rabgap1
ENSG00000011465	ENSMUSG00000019929	Dcn
ENSG00000011478	ENSMUSG00000030407	Qpctl
ENSG00000011485	ENSMUSG00000003099	Ppp5c
ENSG00000011523	ENSMUSG00000044066	Cep68
ENSG00000011566	ENSMUSG00000024242	Map4k3
ENSG00000011590	ENSMUSG00000006310	Zbtb32
ENSG00000011600	ENSMUSG00000030579	Tyrobp
ENSG00000011638	ENSMUSG00000030917	Tmem159
ENSG00000011677	ENSMUSG00000031343	Gabra3
ENSG00000012048	ENSMUSG00000017146	Brca1
ENSG00000012061	ENSMUSG00000003549	Ercc1
ENSG00000012124	ENSMUSG00000030577	Cd22
ENSG00000012171	ENSMUSG00000057969	Sema3b
ENSG00000012174	ENSMUSG00000046873	Mbtps2
ENSG00000012211	ENSMUSG00000031145	Prickle3
ENSG00000012223	ENSMUSG00000032496	Ltf
ENSG00000012232	ENSMUSG00000021978	Extl3
ENSG00000012504	ENSMUSG00000047638	Nr1h4
ENSG00000012660	ENSMUSG00000032349	Elovl5
ENSG00000012779	ENSMUSG00000025701	Alox5
ENSG00000012817	ENSMUSG00000056673	Kdm5d
ENSG00000012822	ENSMUSG00000023055	Calcoco1
ENSG00000012963	ENSMUSG00000041712	Ubr7
ENSG00000012983	ENSMUSG00000034761	Map4k5
ENSG00000013016	ENSMUSG00000024065	Ehd3
ENSG00000013275	ENSMUSG00000030603	Psmc4
ENSG00000013288	ENSMUSG00000029119	Man2b2
ENSG00000013293	ENSMUSG00000069072	Slc7a14
ENSG00000013297	ENSMUSG00000037625	Cldn11
ENSG00000013306	ENSMUSG00000018677	Slc25a39
ENSG00000013364	ENSMUSG00000030681	Mvp
ENSG00000013374	ENSMUSG00000028954	Nub1
ENSG00000013375	ENSMUSG00000056131	Pgm3
ENSG00000013392	ENSMUSG00000032417	Rwdd2a
ENSG00000013441	ENSMUSG00000026034	Clk1
ENSG00000013503	ENSMUSG00000034453	Polr3b
ENSG00000013523	ENSMUSG00000021257	Angel1
ENSG00000013561	ENSMUSG00000060450	Rnf14
ENSG00000013563	ENSMUSG00000019088	Dnase1l1
ENSG00000013573	ENSMUSG00000035842	Ddx11
ENSG00000013583	ENSMUSG00000042770	Hebp1
ENSG00000013588	ENSMUSG00000046733	Gprc5a
ENSG00000013619	ENSMUSG00000059401	Mamld1
ENSG00000013725	ENSMUSG00000024670	Cd6
ENSG00000013810	ENSMUSG00000037313	Tacc3
ENSG00000014123	ENSMUSG00000040359	Ufl1
ENSG00000014138	ENSMUSG00000024833	Pola2
ENSG00000014164	ENSMUSG00000075600	Zc3h3
ENSG00000014216	ENSMUSG00000024942	Capn1
ENSG00000014257	ENSMUSG00000032561	Acpp
ENSG00000014641	ENSMUSG00000020321	Mdh1
ENSG00000014824	ENSMUSG00000029221	Slc30a9
ENSG00000014914	ENSMUSG00000045934	Mtmr11
ENSG00000015133	ENSMUSG00000021182	Ccdc88c
ENSG00000015153	ENSMUSG00000022634	Yaf2
ENSG00000015171	ENSMUSG00000021156	Zmynd11
ENSG00000015285	ENSMUSG00000031165	Was
ENSG00000015413	ENSMUSG00000019278	Dpep1
ENSG00000015475	ENSMUSG00000004446	Bid
ENSG00000015479	ENSMUSG00000117694	Snhg4
ENSG00000015520	ENSMUSG00000020447	Npc1l1
ENSG00000015532	ENSMUSG00000020868	Xylt2
ENSG00000015592	ENSMUSG00000022044	Stmn4
ENSG00000015676	ENSMUSG00000053838	Nudcd3
ENSG00000016082	ENSMUSG00000042258	Isl1
ENSG00000016391	ENSMUSG00000015970	Chdh
ENSG00000016402	ENSMUSG00000020007	Il20ra
ENSG00000016490	ENSMUSG00000028255	Clca1
ENSG00000016602	ENSMUSG00000068547	Clca4a
ENSG00000016602	ENSMUSG00000074195	Clca4b
ENSG00000016864	ENSMUSG00000021916	Glt8d1
ENSG00000017260	ENSMUSG00000032570	Atp2c1
ENSG00000017427	ENSMUSG00000020053	Igf1
ENSG00000017483	ENSMUSG00000031170	Slc38a5
ENSG00000017797	ENSMUSG00000024096	Ralbp1
ENSG00000018189	ENSMUSG00000029291	Rufy3
ENSG00000018236	ENSMUSG00000055022	Cntn1
ENSG00000018280	ENSMUSG00000026177	Slc11a1
ENSG00000018408	ENSMUSG00000027803	Wwtr1
ENSG00000018510	ENSMUSG00000042410	Agps
ENSG00000018610	ENSMUSG00000006423	C330007P06Rik
ENSG00000018625	ENSMUSG00000007097	Atp1a2
ENSG00000018699	ENSMUSG00000024078	Ttc27
ENSG00000018869	ENSMUSG00000109398	Gm3854
ENSG00000019102	ENSMUSG00000001943	Vsig2
ENSG00000019144	ENSMUSG00000048537	Phldb1
ENSG00000019169	ENSMUSG00000026390	Marco
ENSG00000019186	ENSMUSG00000038567	Cyp24a1
ENSG00000019485	ENSMUSG00000075028	Prdm11
ENSG00000019505	ENSMUSG00000027220	Syt13
ENSG00000019549	ENSMUSG00000022676	Snai2
ENSG00000019582	ENSMUSG00000024610	Cd74
ENSG00000019991	ENSMUSG00000028864	Hgf
ENSG00000019995	ENSMUSG00000030967	Zranb1
ENSG00000020129	ENSMUSG00000028833	Ncdn
ENSG00000020181	ENSMUSG00000031486	Adgra2
ENSG00000020256	ENSMUSG00000027551	Zfp64
ENSG00000020426	ENSMUSG00000021103	Mnat1
ENSG00000020577	ENSMUSG00000021838	Samd4
ENSG00000020633	ENSMUSG00000070691	Runx3
ENSG00000020922	ENSMUSG00000031928	Mre11a
ENSG00000021300	ENSMUSG00000030701	Plekhb1
ENSG00000021355	ENSMUSG00000044734	Serpinb1a
ENSG00000021355	ENSMUSG00000051029	Serpinb1b
ENSG00000021355	ENSMUSG00000079049	Serpinb1c
ENSG00000021461	ENSMUSG00000029630	Cyp3a25
ENSG00000021461	ENSMUSG00000029727	Cyp3a13
ENSG00000021461	ENSMUSG00000038656	Cyp3a16
ENSG00000021461	ENSMUSG00000054417	Cyp3a44
ENSG00000021461	ENSMUSG00000056035	Cyp3a11
ENSG00000021461	ENSMUSG00000061292	Cyp3a59
ENSG00000021461	ENSMUSG00000070419	Cyp3a57
ENSG00000021461	ENSMUSG00000075551	Cyp3a41a
ENSG00000021461	ENSMUSG00000075552	Cyp3a41b
ENSG00000021488	ENSMUSG00000030492	Slc7a9
ENSG00000021574	ENSMUSG00000024068	Spast
ENSG00000021645	ENSMUSG00000066392	Nrxn3
ENSG00000021762	ENSMUSG00000037606	Osbpl5
ENSG00000021776	ENSMUSG00000040383	Aqr
ENSG00000021826	ENSMUSG00000025991	Cps1
ENSG00000021852	ENSMUSG00000029656	C8b
ENSG00000022267	ENSMUSG00000023092	Fhl1
ENSG00000022277	ENSMUSG00000027502	Rtf2
ENSG00000022355	ENSMUSG00000010803	Gabra1
ENSG00000022556	ENSMUSG00000035177	Nlrp2
ENSG00000022567	ENSMUSG00000079020	Slc45a4
ENSG00000022840	ENSMUSG00000041740	Rnf10
ENSG00000022976	ENSMUSG00000021271	Zfp839
ENSG00000023041	ENSMUSG00000024982	Zdhhc6
ENSG00000023171	ENSMUSG00000040111	Gramd1b
ENSG00000023191	ENSMUSG00000038650	Rnh1
ENSG00000023228	ENSMUSG00000025968	Ndufs1
ENSG00000023287	ENSMUSG00000025907	Rb1cc1
ENSG00000023318	ENSMUSG00000028343	Erp44
ENSG00000023330	ENSMUSG00000032786	Alas1
ENSG00000023445	ENSMUSG00000032000	Birc3
ENSG00000023516	ENSMUSG00000022016	Akap11
ENSG00000023608	ENSMUSG00000021113	Snapc1
ENSG00000023608	ENSMUSG00000114046	Snapc1l
ENSG00000023697	ENSMUSG00000030225	Dera
ENSG00000023734	ENSMUSG00000030224	Strap
ENSG00000023839	ENSMUSG00000025194	Abcc2
ENSG00000023892	ENSMUSG00000002257	Def6
ENSG00000023902	ENSMUSG00000015745	Plekho1
ENSG00000023909	ENSMUSG00000028124	Gclm
ENSG00000024048	ENSMUSG00000023977	Ubr2
ENSG00000024422	ENSMUSG00000074364	Ehd2
ENSG00000024526	ENSMUSG00000028175	Depdc1a
ENSG00000024862	ENSMUSG00000059554	Ccdc28a
ENSG00000025039	ENSMUSG00000028278	Rragd
ENSG00000025156	ENSMUSG00000019878	Hsf2
ENSG00000025293	ENSMUSG00000038116	Phf20
ENSG00000025423	ENSMUSG00000025396	Hsd17b6
ENSG00000025434	ENSMUSG00000002108	Nr1h3
ENSG00000025708	ENSMUSG00000022615	Tymp
ENSG00000025770	ENSMUSG00000008690	Ncaph2
ENSG00000025772	ENSMUSG00000018322	Tomm34
ENSG00000025796	ENSMUSG00000019802	Sec63
ENSG00000025800	ENSMUSG00000003731	Kpna6
ENSG00000026025	ENSMUSG00000026728	Vim
ENSG00000026036	ENSMUSG00000038685	Rtel1
ENSG00000026103	ENSMUSG00000024778	Fas
ENSG00000026297	ENSMUSG00000094724	Rnaset2b
ENSG00000026297	ENSMUSG00000095687	Rnaset2a
ENSG00000026297	ENSMUSG00000116876	Gm49721
ENSG00000026297	ENSMUSG00000116988	Gm49673
ENSG00000026508	ENSMUSG00000005087	Cd44
ENSG00000026559	ENSMUSG00000074575	Kcng1
ENSG00000026652	ENSMUSG00000023827	Agpat4
ENSG00000026751	ENSMUSG00000038179	Slamf7
ENSG00000026950	ENSMUSG00000108763	Gm36028
ENSG00000027001	ENSMUSG00000021993	Mipep
ENSG00000027075	ENSMUSG00000021108	Prkch
ENSG00000027644	ENSMUSG00000005640	Insrr
ENSG00000027697	ENSMUSG00000020009	Ifngr1
ENSG00000027847	ENSMUSG00000021504	B4galt7
ENSG00000027869	ENSMUSG00000028071	Sh2d2a
ENSG00000028116	ENSMUSG00000064090	Vrk2
ENSG00000028137	ENSMUSG00000028599	Tnfrsf1b
ENSG00000028203	ENSMUSG00000036099	Vezt
ENSG00000028277	ENSMUSG00000008496	Pou2f2
ENSG00000028310	ENSMUSG00000057649	Brd9
ENSG00000028528	ENSMUSG00000032382	Snx1
ENSG00000028839	ENSMUSG00000071359	Tbpl1
ENSG00000029153	ENSMUSG00000040187	Arntl2
ENSG00000029363	ENSMUSG00000037608	Bclaf1
ENSG00000029364	ENSMUSG00000048833	Slc39a9
ENSG00000029534	ENSMUSG00000031543	Ank1
ENSG00000029559	ENSMUSG00000029306	Ibsp
ENSG00000029639	ENSMUSG00000036983	Tfb1m
ENSG00000029725	ENSMUSG00000020817	Rabep1
ENSG00000029993	ENSMUSG00000015217	Hmgb3
ENSG00000030066	ENSMUSG00000051329	Nup160
ENSG00000030110	ENSMUSG00000057789	Bak1
ENSG00000030304	ENSMUSG00000057280	Musk
ENSG00000030419	ENSMUSG00000025997	Ikzf2
ENSG00000030582	ENSMUSG00000034708	Grn
ENSG00000031003	ENSMUSG00000036501	Fam13b
ENSG00000031081	ENSMUSG00000022799	Arhgap31
ENSG00000031691	ENSMUSG00000023919	Cenpq
ENSG00000031698	ENSMUSG00000068739	Sars
ENSG00000031823	ENSMUSG00000002372	Ranbp3
ENSG00000032219	ENSMUSG00000048118	Arid4a
ENSG00000032389	ENSMUSG00000036613	Eipr1
ENSG00000032444	ENSMUSG00000004565	Pnpla6
ENSG00000032742	ENSMUSG00000040040	Ift88
ENSG00000033011	ENSMUSG00000039427	Alg1
ENSG00000033030	ENSMUSG00000029427	Zcchc8
ENSG00000033050	ENSMUSG00000028953	Abcf2
ENSG00000033100	ENSMUSG00000038181	Chpf2
ENSG00000033122	ENSMUSG00000028176	Lrrc7
